id	E17.5KO1	E17.5KO2	E17.5KO3	E17.5WT1	E17.5WT2	E17.5WT3
1416935_at	7.9763803	8.353598182	8.261375912	7.92160693	8.560531572	8.620743926
1416936_at	6.242444491	6.383081037	6.790584488	7.091269418	6.965609249	7.210160958
1416937_at	12.78611072	12.71388437	12.83238282	12.86126632	12.96715432	12.65555457
1416938_at	11.24525087	11.26228848	11.21451666	11.2812413	11.37903012	11.44506622
1416939_at	11.06475431	11.02994846	11.15509842	11.70670105	11.62186962	11.33746857
1416940_at	9.914105774	10.15314907	10.02858755	10.53937653	10.25239617	10.3458809
1416941_s_at	13.16765821	13.17159635	13.26857219	13.27196231	13.3654164	13.34586412
1416942_at	8.044891697	8.364366471	8.112413759	7.417394657	7.516824706	6.918926759
1416943_at	12.17522662	12.02072271	12.27562611	11.9506031	12.02020273	12.00419615
1416944_a_at	9.397373831	9.182024247	9.563024321	9.2277064	9.515448199	9.415024188
1416945_at	8.427765546	8.69992674	8.802823133	8.67643995	8.811367744	9.141425541
1416946_a_at	9.760158203	9.6223488	9.955360229	9.828726915	9.761421046	9.482886467
1416947_s_at	10.54776003	10.59475277	10.52964812	10.60940762	10.36996211	10.30455919
1416948_at	11.85232972	11.8999914	11.86590763	11.68889186	11.84910363	11.65517685
1416949_s_at	10.99100198	11.0670951	11.05306334	11.17876971	11.37603531	10.98806892
1416950_at	11.02439644	10.99197432	11.06880307	10.9678644	10.7315845	10.60366524
1416951_a_at	11.41327404	11.18081789	11.36929186	11.26541149	11.56714545	11.39848854
1416952_at	11.17035448	11.11680314	11.32646271	11.16744802	11.06276505	11.00421924
1416953_at	8.933022962	8.787382852	8.993906156	8.988990184	8.927447188	9.12400083
1416954_at	8.676110997	8.938172298	8.805401102	9.401553548	9.382282725	8.87699892
1416955_at	7.065298765	6.779987717	7.890955721	7.676108081	7.944610968	7.203967222
1416956_at	7.446408978	6.426423966	8.049490303	6.811018155	7.724727946	7.853644689
1416957_at	5.223996408	5.834866013	5.965764045	5.259031251	5.196005894	2.286061893
1416958_at	9.718755056	9.77875322	9.638053088	9.867108067	9.731640396	10.07496895
1416959_at	5.969094351	5.529530832	5.51943658	5.811176831	5.758384185	6.302565329
1416960_at	9.165276802	9.396627689	8.905864028	9.104161036	8.902973396	8.384487416
1416961_at	9.824463118	9.576554926	9.974206138	9.644773375	10.1631176	10.2726741
1416962_at	9.370727049	9.388270415	9.650947001	9.821950999	8.714533364	9.08093137
1416963_at	10.68496337	10.74363265	10.90008686	10.91348915	10.94596466	10.97118974
1416964_at	9.034525358	8.914896755	8.85092582	8.549976543	9.118611259	9.211284624
1416965_at	7.283792759	5.760057268	5.394888307	6.261956249	5.730812703	5.476447573
1416966_at	4.993949591	5.047140226	2.622670227	5.991360175	6.150767064	4.935211441
1416967_at	7.909957242	7.676959866	8.499959886	7.158407649	8.202046963	8.542833015
1416968_a_at	9.131337633	8.954136144	9.253237384	9.260007252	9.407508362	9.53258239
1416969_at	8.585821184	7.104556186	8.262790721	8.299915925	8.017959108	8.360626982
1416970_a_at	13.97253254	14.00360407	14.01357989	14.20151055	14.22091356	14.00580872
1416971_at	12.7841176	12.89045676	12.93076093	13.07164323	13.12766793	13.05237789
1416972_at	12.18007726	12.30775061	12.30849804	11.97182598	12.03555136	11.94245221
1416973_at	12.10172122	12.19973557	12.05268586	12.089534	11.87078675	11.85304587
1416974_at	9.722366167	9.481656704	9.807207159	9.47063609	9.899019235	9.365035458
1416975_at	7.958360141	8.307785619	7.579692709	7.863501705	7.78484548	8.196495411
1416976_at	9.277640324	9.20304106	9.082763601	8.62844622	8.938160702	9.064967456
1416977_at	6.700823724	7.006714621	6.449684669	7.666636826	6.896714904	6.572207154
1416978_at	10.61823393	10.65937496	10.70060323	10.79746277	10.88692878	10.88611035
